Source,Show,time
KICU,10 OClock News,none
WBAL,11 News,none
WBAL,11 News at 11,none
WBAL,11 News at 5,none
WBAL,11 News at 6,none
WBAL,11 News Sunrise,none
WBAL,11 News Today,none
CNBC,60 Minutes on CNBC,pm
KGO,ABC 7 News,none
KOFY,ABC 7 News,none
KGO,ABC 7 News 430AM,am
WJLA,ABC 7 News at 1100,none
WJLA,ABC 7 News at 500,none
WJLA,ABC 7 News at 600,none
WJLA,ABC 7 News at 630,none
WJLA,ABC 7 News Weekly,
KGO,ABC World News Now,pm
WJLA,ABC World News Now,pm
WMAR,ABC World News Now,pm
KGO,ABC World News With David Muir,pm
WJLA,ABC World News With David Muir,pm
WMAR,ABC World News With David Muir,pm
KGO,ABC World News With Diane Sawyer,pm
WJLA,ABC World News With Diane Sawyer,pm
WMAR,ABC World News With Diane Sawyer,pm
WMAR,ABC2 News,none
WMAR,ABC2 News Sunday,none
WJLA,ABCs World News With Charles Gibson,pm
WMAR,ABCs World News With Charles Gibson,pm
WPVI,Action News,pm
CSPAN2,After Words,pm
LINKTV,Al Jazeera World News,none
MSNBC,All In With Chris Hayes,pm
CNN,AM Wake Up Call,am
Fox News,America Live,none
CSPAN,American Perspectives,pm
Fox News,Americas News Headquarters,pm
Fox News,Americas News HQ,pm
Fox News,Americas Newsroom,am
CNN,Anderson Cooper 360,pm
CNN,Anderson Cooper Special Report,pm
MSNBC,Andrea Mitchell Reports,pm
KCSM,Arirang News,none
CNN,Around the World,none
KBCW,Bay Area Focus With Susan Sikora,am
KICU,Bay Area News at 7,none
WHUT,BBC Newsnight,pm
WMPT,BBC Newsnight,pm
BBC America,BBC World News,none
KQED,BBC World News,none
KQEH,BBC World News,none
WETA,BBC World News,none
WHUT,BBC World News,none
WMPT,BBC World News,none
KQED,BBC World News America,pm
WETA,BBC World News America,pm
WHUT,BBC World News America,pm
WMPT,BBC World News America,pm
Bloomberg,Bloomberg Bottom Line,DK
Bloomberg,Bloomberg Surveillance,am
Bloomberg,Bloomberg West,
CSPAN2,Book TV,am
CSPAN2,Book TV After Words,pm
FBC,Bulls and Bears,pm
Fox News,Bulls and Bears,pm
CNN,Campbell Brown,pm
FBC,Cashin In,am
Fox News,Cashin In,am
FBC,Cavuto,am
FBC,Cavuto on Business,am
Fox News,Cavuto on Business,am
KPIX,CBS 5 Eyewitness News at 11,none
KBCW,CBS 5 Eyewitness News on the CW 44,pm
KPIX,CBS 5 News,none
KCSM,CCTV News,none
Bloomberg,Charlie Rose,pm
KQED,Charlie Rose,pm
KRCB,Charlie Rose,pm
WETA,Charlie Rose,pm
WHUT,Charlie Rose,pm
WMPT,Charlie Rose,pm
KCSM,China Price Watch,am
KTLN,Christian World News,am
CSPAN2,Close Up,DK
CNBC,Closing Bell,pm
CNBC,Closing Bell With Maria Bartiromo,pm
CNN,CNN Newsroom,both
CNN,CNN Presents,pm
Aljazam,Consider This,am
Bloomberg,Countdown,pm
FBC,Countdown to the Closing Bell,pm
CURRENT,Countdown With Keith Olbermann,pm
MSNBC,Countdown With Keith Olbermann,pm
CNN,Crossfire,pm
KNTV,Dateline NBC,pm
WBAL,Dateline NBC,pm
WRC,Dateline NBC,pm
LINKTV,Democracy Now,pm
WHUT,Democracy Now,pm
LINKTV,Deutsche Welle European Journal,pm
LINKTV,Deutsche Welle Journal,both
MSNBC,Disrupt With Karen Finney,pm
CNN,Erin Burnett OutFront,pm
KCSM,EuroNews,DK
KCSM,European Journal,pm
KCSMMHZ,European Journal,pm
WJZ,Eyewitness News,DK
KYW,Eyewitness News at 11,none
WJZ,Eyewitness News at 4,none
WJZ,Eyewitness News at 5,none
WJZ,Eyewitness News at 6,none
KBCW,Eyewitness News Weekend Edition,pm
KPIX,Face the Nation,am
WJZ,Face the Nation,am
WUSA,Face the Nation,am
CNN,Fareed Zakaria GPS,am
Aljazam,Fault Lines,am
KICU,First Business,am
WBFF,First Business,am
CSPAN,First Ladies Influence Image,pm
MSNBC,First Look,am
FBC,Forbes on FOX,am
Fox News,Forbes on FOX,am
WBFF,Fox 45 Good Day Baltimore,am
WBFF,FOX 45 News at 10,none
WBFF,FOX 45 News at 500,none
WBFF,FOX 45 News at 530,none
WTTG,Fox 5 News at 11,none
WTTG,Fox 5 News at 5,none
WTTG,Fox 5 News at 6,none
WTTG,Fox 5 News at Ten,none
WTTG,Fox 5 News Edge at 11,none
WTTG,Fox 5 News Edge at 6,none
WTTG,Fox 5 News Sports Extra,none
Fox News,FOX and Friends,am
Fox News,FOX and Friends First,am
Fox News,FOX and Friends Saturday,am
Fox News,FOX and Friends Sunday,am
FBC,FOX Business After the Bell,pm
Fox News,FOX News Sunday With Chris Wallace,pm
KTVU,FOX News Sunday With Chris Wallace,pm
WBFF,FOX News Sunday With Chris Wallace,pm
WTTG,FOX News Sunday With Chris Wallace,pm
Fox News,FOX News Watch,
Fox News,FOX Report,pm
LINKTV,France 24 Mid-Day News,pm
KCSM,France 24 News,none
KQED,Frontline,pm
WETA,Frontline,pm
WMPT,Frontline,pm
CURRENT,Full Court Press,am
Fox News,Geraldo at Large,pm
Fox News,Glenn Beck,pm
