Show,morning,evening,category
Reliable Sources,FALSE,FALSE,am
Fareed Zakaria GPS,FALSE,FALSE,am
Fox and Friends,FALSE,FALSE,am
Live With Regis and Kelly,FALSE,FALSE,am
The View,FALSE,FALSE,am
This Week with George Stephanopoulos,FALSE,FALSE,am
This Week,FALSE,FALSE,am
Face the Nation,FALSE,FALSE,am
Meet the Press,FALSE,FALSE,am
Today Show,FALSE,FALSE,am
Dateline NBC,FALSE,FALSE,am
Chris Matthews,FALSE,FALSE,am
KNBC News Conference,FALSE,FALSE,am
NBC Today Show Sunday,FALSE,FALSE,am
Jerry Springer Show,FALSE,FALSE,am
The Daily Rundown,FALSE,FALSE,am
Your World Today,FALSE,FALSE,none
Newsroom,FALSE,FALSE,none
Live Event,FALSE,FALSE,none
State Of The Union,FALSE,FALSE,none
Election Center,FALSE,FALSE,none
Prime Minister Question Time,FALSE,FALSE,none
President Obama,FALSE,FALSE,none
Road to White House,FALSE,FALSE,none
Fox News Live,FALSE,FALSE,none
Fox Online,FALSE,FALSE,none
The Half Hour News Hour,FALSE,FALSE,none
CNN In Session,FALSE,FALSE,none
CBS 2 News at 6,FALSE,FALSE,none
CBS 2 News at 5,FALSE,FALSE,none
CBS 2 News at 11,FALSE,FALSE,none
Channel 4 News,FALSE,FALSE,none
BBC World News,FALSE,FALSE,none
Life and Times,FALSE,FALSE,none
Al Jazeera English News,FALSE,FALSE,none
The PBS Newshour,FALSE,FALSE,none
NHK Newsline,FALSE,FALSE,none
Ten OClock News,FALSE,FALSE,none
News Live,FALSE,FALSE,none
MSNBC News Sunday,FALSE,FALSE,none
MSNBC News Saturday,FALSE,FALSE,none
Race For The White House,FALSE,FALSE,none
Russia Today,FALSE,FALSE,none
Anderson Cooper 360,FALSE,FALSE,pm
Situation Room,FALSE,FALSE,pm
Paula Zahn Now,FALSE,FALSE,pm
Larry King Live,FALSE,FALSE,pm
CNN Presents,FALSE,FALSE,pm
Larry King Saturday,FALSE,FALSE,pm
Nancy Grace,FALSE,FALSE,pm
Ricks List,FALSE,FALSE,pm
John King USA,FALSE,FALSE,pm
Parker Spitzer,FALSE,FALSE,pm
CNN Election Center,FALSE,FALSE,pm
Daily Show,FALSE,FALSE,pm
Colbert Report,FALSE,FALSE,pm
The OReilly Factor,FALSE,FALSE,pm
Hannity and Colmes,FALSE,FALSE,pm
Special Report with Brit Hume,FALSE,FALSE,pm
On the Record with Greta Van Susteren,FALSE,FALSE,pm
Report with Shepard Smith,FALSE,FALSE,pm
Glenn Beck,FALSE,FALSE,pm
Hannity,FALSE,FALSE,pm
On the Record Greta Van Susteren,FALSE,FALSE,pm
Special Report with Bret Baier,FALSE,FALSE,pm
Studio B With Shepard Smith,FALSE,FALSE,pm
Americas Election HQ,FALSE,FALSE,pm
World News With Charles Gibson,FALSE,FALSE,pm
ABC World News Sunday,FALSE,FALSE,pm
Jimmy Kimmel Live,FALSE,FALSE,pm
Oprah Winfrey,FALSE,FALSE,pm
20-20,FALSE,FALSE,pm
Eyewitness News 430PM,FALSE,FALSE,pm
World News With Diane Sawyer,FALSE,FALSE,pm
ABC World News Saturday,FALSE,FALSE,pm
The Doctor Oz Show,FALSE,FALSE,pm
Inside Edition,FALSE,FALSE,pm
60 Minutes,FALSE,FALSE,pm
The Insider,FALSE,FALSE,pm
48 Hours,FALSE,FALSE,pm
Access Hollywood,FALSE,FALSE,pm
Channel 4 News Mid Day Report,FALSE,FALSE,pm
EXTRA,FALSE,FALSE,pm
The Ellen DeGeneres Show,FALSE,FALSE,pm
The Jay Leno Show,FALSE,FALSE,pm
KNBC 4 News at Noon,FALSE,FALSE,pm
Charlie Rose,FALSE,FALSE,pm
Tavis Smiley,FALSE,FALSE,pm
Newshour with Jim Lehrer,FALSE,FALSE,pm
Frontline,FALSE,FALSE,pm
McLaughlin Group,FALSE,FALSE,pm
Bill Moyers Journal,FALSE,FALSE,pm
IBA News,FALSE,FALSE,pm
A Current Affair,FALSE,FALSE,pm
News Sunday with Chris Wallace,FALSE,FALSE,pm
Montel Williams Show,FALSE,FALSE,pm
Americas Most Wanted,FALSE,FALSE,pm
Scarborough Country,FALSE,FALSE,pm
Countdown with Keith Olbermann,FALSE,FALSE,pm
Tucker Carlson,FALSE,FALSE,pm
Hardball with Chris Matthews,FALSE,FALSE,pm
The Rachel Maddow Show,FALSE,FALSE,pm
The Ed Show,FALSE,FALSE,pm
The Last Word With Lawrence ODonnell,FALSE,FALSE,pm
The Abrams Report,FALSE,FALSE,pm
1600 Pennsylvania Avenue,FALSE,FALSE,pm
Cenk Uygur,FALSE,FALSE,pm
Democracy Now,FALSE,FALSE,pm
