CNN Finance,THE FLIPSIDE,am
CNN Finance,THE BIZ,am
CNN Finance,CNN MONEY MORNING,am
CNN Finance,MARKET CALL,am
CNN Finance,DOLANS UNSCRIPTED,am
CNN International,CONNECT THE WORLD,am
CNN International,AMERICAN MORNING,am
CNN International,AMERICAN MORNING: WAKE UP CALL,am
CNN International,TALK ASIA,am
CNN International,CNN DAYBREAK,am
CNN International,INSIDE AFRICA,am
CNN International,CNN SUNDAY MORNING,am
CNN International,YOUR WORLD TODAY,am
CNN International,CNN SATURDAY MORNING NEWS,am
CNN International,STARTING POINT WITH SOLEDAD O'BRIEN,am
CNN International,EARLY START WITH JOHN BERMAN AND ZORAIDA SAMBOLIN,am
CNN International,New Day,am
Fox News,FOX NEWS SUNDAY,am
MSNBC,MELISSA-HARRIS-PERRY,am
MSNBC,UP with STEVE KORNACKI,am
CNN Finance,NA,none
CNN International,CNN NEWSROOM,none
CNN International,NEWS STREAM,none
CNN International,CNN LIVE EVENT/SPECIAL,none
CNN International,INTERNATIONAL CORRESPONDENTS,none
CNN International,CNN BREAKING NEWS,none
CNN International,Q&A,none
CNN Wire,NA,none
Fox News,FOX NEWS WATCH,none
MSNBC,MSNBC SPECIAL,none
MSNBC,LIVE WITH DAN ABRAMS,none
CNN Finance,YOUR MONEY,pm
CNN Finance,THE MONEY GANG,pm
CNN Finance,STREET SWEEP,pm
CNN Finance,MONEY & MARKETS,pm
CNN Finance,LOU DOBBS TONIGHT,pm
CNN International,QUEST MEANS BUSINESS,pm
CNN International,INSIGHT,pm
CNN International,Q&A WITH JIM CLANCY,pm
CNN International,DIPLOMATIC LICENSE,pm
CNN International,ANDERSON COOPER 360 DEGREES,pm
CNN International,THE SITUATION ROOM,pm
CNN International,ERIN BURNETT OUTFRONT,pm
Fox News,YOUR WORLD WITH NEIL CAVUTO,pm
Fox News,THE O'REILLY FACTOR,pm
Fox News,FOX HANNITY & COLMES,pm
Fox News,FOX ON THE RECORD WITH GRETA VAN SUSTEREN,pm
Fox News,FOX SPECIAL REPORT WITH BRIT HUME,pm
Fox News,THE BIG STORY WITH JOHN GIBSON,pm
Fox News,BIG STORY WEEKEND EDITION,pm
MSNBC,HARDBALL,pm
MSNBC,BUCHANAN & PRESS,pm
MSNBC,COUNTDOWN,pm
MSNBC,SCARBOROUGH COUNTRY,pm
MSNBC,THE ABRAMS REPORT,pm
MSNBC,DEBORAH NORVILLE TONIGHT,pm
MSNBC,THE RACHEL MADDOW SHOW,pm
MSNBC,THE ED SHOW with ED SCHULTZ,pm
MSNBC,THE LAST WORD WITH LAWRENCE O' DONNELL,pm
MSNBC,MSNBC LIVE WITH CENK UYGUR,pm
MSNBC,POLITICS NATION,pm
MSNBC,THE LAST WORD WITH LAWRENCE O'DONNELL,pm
MSNBC,ALL IN with CHRIS HAYES,pm
MSNBC,THE ED SHOW,pm
Source,Show,time
